Song Name,Megasync,Memory Card,,
By Others Considered In Mourning,,,,
Enemy Within Arch Enemy,,,,
The Ride Majestic Soilwork,,,,
Aurora Dark Lunacy,,,,
...Of Melancholy Burning Dark Tranquillity,x,y,,
Final Gates Running Wild,,,,
Plush Stone Temple Pilots,,,,
Interstate Love Song Stone Temple Pilots,,,,
Prologue (apprehension) Apocalyptica,,,,
"True Survivor - From ""Kung Fury"" David Hasselhoff",,,,
Strung Up From the Sky Pelican,,,,
Lone Digger Caravan Palace,,,,
(Don´t Fear) The Reaper (Metal Cover) Leo,,,,
Things Are Changin' - Live [Solo Acoustic] Gary Clark Jr.,,,,
Dweller on the Treshold Joe Satriani,,,,
Smoke on the Water - 2010 Wermut & Dee Remix David Gilmour,,,,
Living Dead Girl Rob Zombie,,,,
Dragula Rob Zombie,,,,
"Well, Everybody's Fucking In A U.F.O. Rob Zombie",,,,
Just Like You Ministry,x,,,
Deadsong Before The Dawn,,,,
Frozen Angel Norther,x,,,
L'Enfant Sauvage Gojira,,,,
Hunter/Killer Quo Vadis,,,,
Hunter/Killer: Endgame Quo Vadis,,,,
Dysgenics Quo Vadis,x,,,
Sans Abris Quo Vadis,x,,,
Zero Hour Quo Vadis,x,,,
Legions Of The Betrayed Quo Vadis,,,,
Who Could Say Omnium Gatherum,,,,
Living in Me Omnium Gatherum,,,,
New Dynamic Omnium Gatherum,,,,
Frontiers Omnium Gatherum,,,,
Rise and Decay Skyfire,,,,
Windlake Tale Kalmah,x,,,
Black Marten´s Trace Kalmah,x,,,
The Groan of Wind Kalmah,,,,
Moon Of My Nights Kalmah,,,,
Deadfall Kalmah,x,,,
Defeat Kalmah,x,,,
Time Takes Us All Kalmah,x,,,
Seventh Swamphony Kalmah,x,,,
Hades Kalmah,x,,,
Heroes To Us Kalmah,,,,
Augen auf! OOMPH!,,,,
Collapse After The Burial,,,,
Perfect Combination Fight the Fight,,,,
Nosferatu Witchery,,,,
Atoma Dark Tranquillity,x,y,,
Asylum Choir Motörhead,x,y,,
Hellraiser Motörhead,x,y,,
Mr. Crowley Ozzy Osbourne,x,y,,
Diary Of A Madman Ozzy Osbourne,x,y,,
Perry Mason Ozzy Osbourne,x,y,,
Over the Mountain Ozzy Osbourne,x,y,,
School's Out Alice Cooper,,,,
Poison Alice Cooper,,,,
Paranoid Black Sabbath,,,,
Sinner Judas Priest,x,p,,
Blood Red Skies Judas Priest,x,y,,
All Guns Blazing Judas Priest,,,,
Hell Patrol Judas Priest,,,,
The Ripper Judas Priest,x,p,,
Night Crawler Judas Priest,,,,
Welcome To The Jungle Guns N' Roses,x,p,,
Still Loving You Scorpions,x,p,,
No One Like You - 2011 Version Scorpions,,,,
Rock You Like a Hurricane - 2011 Version Scorpions,x,y,,
Shadow Life Slash,,,,
Bent To Fly Slash,,,,
Anastasia Slash,,,,
World On Fire Slash,,,,
I´m Shipping Up To Boston Children Of Bodom,,,,
Downfall Children Of Bodom,,,,
Hate Me Children Of Bodom,,,,
Everytime I Die Children Of Bodom,x,y,,
Angel Of Death Slayer,x,y,,
Show No Mercy Slayer,x,y,,
Metal Storm / Face the Slayer Slayer,x,y,,
Die by the Sword Slayer,x,y,,
Evil Has No Boundaries Slayer,x,y,,
Black Magic Slayer,x,,,
Against The World Accept,,,,
